,GEOID,total_pop,medhhinc,year,share_BA+,a35to64_share
0,17031191302,5088,38966,2010-14,5.5,36.4
1,17031200100,4603,44306,2010-14,13.5,34.6
2,17031200200,4968,36436,2010-14,11.0,40.300000000000004
3,17031200300,2401,40163,2010-14,4.6,33.9
4,17031200401,3814,35489,2010-14,5.4,41.1
5,17031200402,4033,39526,2010-14,4.5,32.1
6,17031210100,3447,56250,2010-14,32.7,39.49999999999999
7,17031210400,3128,37348,2010-14,21.0,31.5
8,17031210501,4569,39487,2010-14,21.0,32.5
9,17031210502,4909,32500,2010-14,14.8,31.700000000000003
10,17031210601,3066,47280,2010-14,19.3,37.400000000000006
11,17031210602,4126,36604,2010-14,23.1,30.7
12,17031210700,3978,47232,2010-14,28.3,39.800000000000004
13,17031210800,1028,43750,2010-14,42.6,33.49999999999999
14,17031210900,3223,50976,2010-14,33.0,40.300000000000004
15,17031220300,2409,82500,2010-14,63.9,34.0
16,17031220400,2565,71648,2010-14,43.3,34.1
17,17031220500,2682,61394,2010-14,58.2,29.4
18,17031220601,1596,45417,2010-14,32.3,31.5
19,17031220602,4690,43233,2010-14,48.2,35.0
20,17031220701,3459,47318,2010-14,18.5,32.8
21,17031220702,4426,40000,2010-14,21.7,35.7
22,17031220901,3297,38619,2010-14,2.8,32.6
23,17031220902,3325,47793,2010-14,12.0,35.099999999999994
24,17031221000,3254,42818,2010-14,17.9,36.800000000000004
25,17031221100,4810,43750,2010-14,38.3,33.0
26,17031221200,3065,44821,2010-14,42.9,29.900000000000002
27,17031221300,2762,48095,2010-14,55.8,38.900000000000006
28,17031221400,2799,55982,2010-14,47.4,37.099999999999994
29,17031221500,2574,35787,2010-14,28.2,40.2
30,17031221600,3118,73611,2010-14,73.8,33.3
31,17031222200,1964,123500,2010-14,89.0,33.3
32,17031222500,1424,40469,2010-14,32.6,42.3
33,17031222600,1554,45750,2010-14,35.5,33.5
34,17031222700,2660,44701,2010-14,22.6,32.8
35,17031222800,1014,23523,2010-14,15.5,32.6
36,17031222900,878,40208,2010-14,11.9,29.900000000000002
37,17031230100,1646,43500,2010-14,24.4,35.6
38,17031230200,1972,44280,2010-14,7.8,31.400000000000002
39,17031230300,1170,40573,2010-14,8.0,31.500000000000004
40,17031230400,2666,56875,2010-14,10.3,40.3
41,17031230500,3710,29324,2010-14,14.0,37.6
42,17031230600,6933,33551,2010-14,11.2,31.099999999999998
43,17031230700,5177,34145,2010-14,14.7,32.2
44,17031230800,1195,63179,2010-14,14.3,40.199999999999996
45,17031230900,5155,35935,2010-14,20.1,35.2
46,17031231100,1227,43029,2010-14,5.1,37.0
47,17031231200,5102,23750,2010-14,5.7,34.1
48,17031231500,6965,24205,2010-14,4.5,28.700000000000003
49,17031240200,1469,96667,2010-14,66.4,41.6
50,17031240300,1402,111000,2010-14,84.2,39.300000000000004
51,17031240500,2154,108987,2010-14,93.0,33.9
52,17031240600,1340,107928,2010-14,62.2,31.2
53,17031240700,1427,32197,2010-14,52.1,28.599999999999998
54,17031240800,1816,39500,2010-14,24.8,40.300000000000004
55,17031240900,1236,38750,2010-14,23.5,36.0
56,17031241000,2036,39600,2010-14,34.6,29.5
57,17031241100,4015,55824,2010-14,40.1,28.3
58,17031241200,1952,74432,2010-14,52.6,30.2
59,17031241300,1878,88409,2010-14,70.6,28.400000000000002
60,17031241400,5238,94816,2010-14,79.0,29.1
61,17031241500,2881,88333,2010-14,69.5,27.2
62,17031241600,3438,63690,2010-14,78.2,20.8
63,17031242000,4786,57857,2010-14,53.8,31.2
64,17031242100,3311,94507,2010-14,80.0,31.9
65,17031242200,3875,82012,2010-14,81.2,29.100000000000005
66,17031242300,3003,66563,2010-14,69.2,29.400000000000006
67,17031242400,2926,68348,2010-14,65.2,31.1
68,17031242500,3928,48615,2010-14,48.6,34.400000000000006
69,17031242600,5999,51171,2010-14,40.2,40.5
70,17031242700,1689,24073,2010-14,38.4,37.1
71,17031242800,1515,63869,2010-14,41.7,39.6
72,17031242900,1818,52361,2010-14,50.8,41.5
73,17031243000,2398,66063,2010-14,39.8,41.6
74,17031243100,2594,77569,2010-14,51.4,37.699999999999996
75,17031243200,2190,93527,2010-14,63.2,32.4
76,17031243300,2353,66574,2010-14,62.7,37.0
77,17031243400,2955,67480,2010-14,48.0,38.1
78,17031243500,3198,91434,2010-14,71.9,35.6
