Latitude,Longitude,Company,2018 Rank,Years on List,City,State
36.3648645,-94.2176775,Walmart Inc.,1,24,Bentonville,AR
32.8900057,-96.9499086,Exxon Mobil Corporation,2,24,Irving,TX
41.2571794,-95.965619,Berkshire Hathaway Inc.,3,24,Omaha,NE
37.3316756,-122.030189,"Apple, Inc.",4,24,Cupertino,CA
44.8977868,-93.4413911,UnitedHealth Group Incorporated,5,24,Minnetonka,MN
37.788766,-122.402747,McKesson Corporation,6,24,San Francisco,CA
41.990756,-71.477265,CVS Health Corporation,7,24,Woonsocket,RI
47.6222881,-122.3364939,"Amazon.com, Inc.",8,17,Seattle,WA
32.779295,-96.800014,AT&T Inc.,9,24,Dallas,TX
42.3295852,-83.039529,General Motors Company,10,24,Detroit,MI
42.2968973,-83.2359823,Ford Motor Company,11,24,Dearborn,MI
40.0686079,-75.4683046,AmerisourceBergen Corp.,12,24,Chesterbrook,PA
37.7581031,-121.9593596,Chevron Corporation,13,24,San Ramon,CA
40.1092374,-83.1210978,"Cardinal Health, Inc.",14,24,Dublin,OH
47.5486092,-122.0506496,Costco Wholesale Corporation,15,24,Issaquah,WA
40.6895119,-73.9807077,Verizon Communications Inc.,16,24,New York,NY
39.1067628,-84.513954,The Kroger Company,17,24,Cincinnati,OH
42.351941,-71.047847,General Electric Company,18,24,Boston,MA
42.1555553,-87.868761,"Walgreens Boots Alliance, Inc",19,24,Deerfield,IL
40.7558818,-73.9755845,JPMorgan Chase & Co.,20,24,New York,NY
38.9404825,-77.0765632,Federal National Mortgage Association,21,21,Washington,DC
37.4219999,-122.0840575,Alphabet Inc.,22,13,Mountain View,CA
33.865325,-84.481408,"The Home Depot, Inc.",23,24,Atlanta,GA
35.2273417,-80.8419168,Bank of America Corporation,24,24,Charlotte,NC
38.7182901,-90.3106186,Express Scripts Holding Company,25,19,St. Louis,MO
37.7892447,-122.4022503,Wells Fargo & Company,26,24,San Francisco,CA
41.8835793,-87.6389344,The Boeing Company,27,24,Chicago,IL
29.6843591,-95.254304,Phillips 66,28,6,Houston,TX
39.7691299,-86.158805,"Anthem, Inc.",29,24,Indianapolis,IN
47.6423318,-122.1369302,Microsoft Corporation,30,24,Redmond,WA
29.4844329,-98.4309326,Valero Energy Corporation,31,20,San Antonio,TX
40.7211322,-74.0109186,Citigroup Inc.,32,24,New York,NY
39.9547564,-75.1685345,Comcast Corporation,33,23,Philadelphia,PA
41.1082453,-73.7204032,International Business Machines Corporation,34,24,Armonk,NY
30.4883856,-97.6704209,Dell Technologies Inc.,35,21,Round Rock,TX
40.4828017,-88.9424447,State Farm Insurance Cos.,36,24,Bloomington,IL
40.4979518,-74.4430559,Johnson & Johnson,37,24,New Brunswick,NJ
38.932839,-77.2273311,Federal Home Loan Mortgage Corporation,38,21,McLean,VA
44.9748915,-93.2743017,Target Corporation,39,24,Minneapolis,MN
35.592873,-80.866409,"Lowe's Companies, Inc.",40,24,Mooresville,NC
41.036057,-83.64921,Marathon Petroleum Corporation,41,7,Findlay,OH
39.1032195,-84.5052772,The Procter & Gamble Company,42,24,Cincinnati,OH
40.7138351,-73.998399,"MetLife, Inc.",43,24,New York,NY
33.9391366,-84.3593664,"United Parcel Service, Inc.",44,24,Atlanta,GA
41.0365188,-73.695213,"PepsiCo, Inc.",45,24,Purchase,NY
37.3875909,-121.9637869,Intel Corporation,46,24,Santa Clara,CA
43.6161467,-84.2002385,DowDuPont Inc.,47,24,Midland,MI
41.8878212,-87.6590804,Archer-Daniels-Midland Company,48,24,Chicago,IL
41.7678127,-72.6909539,Aetna Inc.,49,18,Hartford,CT
35.0511748,-89.7927333,FedEx Corporation,50,24,Memphis,TN
41.7122183,-72.8040708,United Technologies Corporation,51,24,Farmington,CT
40.7322155,-74.1403143,"Prudential Financial, Inc.",52,24,Newark,NJ
43.5994756,-116.1802787,"Albertsons Companies, Inc.",53,14,Boise,ID
29.7591048,-95.6197026,Sysco Corporation,54,24,Houston,TX
34.156207,-118.325189,The Walt Disney Company,55,24,Burbank,CA
38.2569412,-85.7554157,Humana Inc.,56,24,Louisville,KY
40.7503024,-73.9726573,Pfizer Inc.,57,24,New York,NY
37.4123389,-122.1479595,HP Inc.,58,24,Palo Alto,CA
39.0309432,-77.1390122,Lockheed Martin Corporation,59,24,Bethesda,MD
40.7063759,-74.0051564,"American International Group, Inc.",60,24,New York,NY
38.6495116,-90.3345013,Centene Corporation,61,9,St. Louis,MO
37.4084383,-121.9539644,"Cisco Systems, Inc.",62,22,San Jose,CA
36.1537498,-86.8137613,"HCA Healthcare, Inc.",63,24,Nashville,TN
32.8614286,-96.8070119,"Energy Transfer Equity, L.P.",64,12,Dallas,TX
42.1559733,-87.8410708,Caterpillar Inc.,65,24,Deerfield,IL
39.9684015,-83.0023365,Nationwide Mutual Insurance Co.,66,24,Columbus,OH
40.7020858,-74.0121514,Morgan Stanley,67,24,New York,NY
42.34911,-71.0718557,Liberty Mutual Holding Company Inc.,68,24,Boston,MA
40.7339028,-73.8695297,New York Life Insurance Company,69,24,New York,NY
40.714828,-74.0144025,"The Goldman Sachs Group, Inc.",70,19,New York,NY
32.8252948,-97.0506621,American Airlines Group Inc.,71,24,Fort Worth,TX
44.8632573,-93.2927947,"Best Buy Co., Inc.",72,24,Richfield,MN
41.8129391,-72.7431484,CIGNA Corporation,73,24,Bloomfield,CT
41.1233378,-73.5258084,"Charter Communications, Inc.",74,18,Stamford,CT
33.6562298,-84.4221987,"Delta Air Lines, Inc.",75,24,Atlanta,GA
37.4850711,-122.1474242,"Facebook, Inc.",76,6,Menlo Park,CA
40.8358456,-74.4771041,Honeywell International Inc.,77,24,Morris Plains,NJ
40.6776273,-74.2736489,"Merck & Co., Inc.",78,24,Kenilworth,NJ
42.1009461,-87.8711055,The Allstate Corporation,79,23,Northbrook,IL
36.190375,-94.1256874,"Tyson Foods, Inc.",80,24,Springdale,AR
41.8865252,-87.6306005,"United Continental Holdings, Inc.",81,24,Chicago,IL
37.528581,-122.2646347,Oracle Corporation,82,23,Redwood City,CA
27.9207237,-82.7085164,Tech Data Corporation,83,24,Clearwater,FL
40.7531634,-73.9732781,Teachers Insurance and Annuity Association,84,21,New York,NY
42.310488,-71.3819495,"The TJX Companies, Inc.",85,24,Framingham,MA
40.7134455,-74.0152721,American Express Company,86,24,New York,NY
33.7704809,-84.3973221,The Coca-Cola Company,87,24,Atlanta,GA
28.1120466,-81.9452096,"Publix Super Markets, Inc.",88,24,Lakeland,FL
45.5077764,-122.8281466,"Nike, Inc.",89,24,Beaverton,OR
29.6159513,-98.4589556,Andeavor,90,19,San Antonio,TX
25.8105331,-80.355523,World Fuel Services Corporation,91,14,Miami,FL
41.8835198,-87.6416513,Exelon Corporation,92,24,Chicago,IL
42.116805,-72.54735,Massachusetts Mutual Life Insurance Company,93,24,Springfield,MA
40.2401756,-76.9353966,Rite Aid Corporation,94,24,Camp Hill,PA
29.7882303,-95.613463,ConocoPhillips,95,24,Houston,TX
44.86948,-93.062548,CHS Inc.,96,19,Inver Grove Heights,MN
44.9384927,-93.0915405,3M Company,97,24,St. Paul,MN
40.7684692,-73.9827313,Time Warner Inc.,98,19,New York,NY
38.8683985,-77.2133362,General Dynamics Corporation,99,24,Falls Church,VA
29.5344204,-98.5746487,United Services Automobile Association,100,24,San Antonio,TX
38.9242,-77.213291,Capital One Financial Corporation,101,19,McLean,VA
41.4709,-90.4739334,Deere & Company,102,24,Moline,IL
40.75243,-73.9737387,INTL FCStone Inc.,103,10,New York,NY
43.040201,-87.9001131,"Northwestern Mutual Life Insurance Company, Inc.",104,24,Milwaukee,WI
29.9076509,-95.5544407,Enterprise Products Partners L.P.,105,13,Houston,TX
40.754204,-73.9736114,"The Travelers Companies, Inc.",106,24,New York,NY
37.4158716,-122.1465855,Hewlett Packard Enterprise Company,107,2,Palo Alto,CA
40.7517405,-73.9783375,Philip Morris International Inc.,108,10,New York,NY
40.7586113,-73.9822089,"Twenty-First Century Fox, Inc.",109,14,New York,NY
42.3339581,-87.8387519,AbbVie Inc.,110,5,North Chicago,IL
42.3027586,-87.8962464,Abbott Laboratories,111,24,Abbott Park,IL
41.545662,-81.4438179,The Progressive Corporation,112,24,Mayfield Village,OH
39.5814958,-104.8822406,"Arrow Electronics, Inc",113,24,Centennial,CO
40.4398818,-80.0037001,The Kraft Heinz Company,114,24,Pittsburgh,PA
29.757349,-95.3719383,"Plains GP Holdings, L.P.",115,5,Houston,TX
37.5669611,-122.2816328,"Gilead Sciences, Inc.",116,10,Foster City,CA
42.1623977,-87.8797916,"Mondelez International, Inc.",117,11,Deerfield,IL
38.8671114,-77.2148893,Northrop Grumman Corporation,118,24,Falls Church,VA
42.4057975,-71.282688,Raytheon Company,119,24,Waltham,MA
39.103259,-84.514131,"Macy's, Inc.",120,24,Cincinnati,OH
41.988673,-87.857805,US Foods Holding Corp.,121,7,Rosemont,IL
44.9755792,-93.2738797,U.S. Bancorp,122,20,Minneapolis,MN
36.3090261,-86.699065,Dollar General Corporation,123,20,Goodlettsville,TN
35.0622579,-89.7876891,International Paper Company,124,24,Memphis,TN
35.2771322,-80.9161972,Duke Energy Corporation,125,24,Charlotte,NC
33.76432,-84.388259,The Southern Company,126,24,Atlanta,GA
39.024758,-77.138038,"Marriott International, Inc.",127,20,Bethesda,MD
33.4274453,-111.9799387,"Avnet, Inc.",128,24,Phoenix,AZ
39.7585156,-86.1553712,Eli Lilly and Company,129,24,Indianapolis,IN
