,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION,YEAR,total_pop,medhhinc,share_BA+,a35to64_share,metro_GDP,Cook_U3_ann_avg,which_ssa,in_ssa,num_renewals
0,22308-20060816,1723393,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/21/2006,08/10/2006,N,08/16/2006,08/15/2007,08/10/2006,08/11/2006,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2006,3506.0,60881.0,3.6,24.4,545932.0,4.866666666666666,0.0,0.0,12.0
1,1620668-20160516,2455262,295026,1,BUCCI BIG & TALL INC.,BUCCI BIG & TALL INC.,558 W ROOSEVELT RD,CHICAGO,IL,60607.0,25.0,28.0,25-28,1.0,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1620668.0,RENEW,,03/15/2016,05/18/2016,N,05/16/2016,05/15/2018,05/18/2016,08/30/2016,AAI,,,41.867338566,-87.641590057,"(41.86733856638269, -87.64159005699716)",2016,6509.0,113882.0,73.3,23.70000000000001,574603.1,6.041666666666668,0.0,0.0,7.0
2,2368602-20160616,2460909,291461,3,"PROJECT: VISION , INC.","PROJECT : VISION , INC",2301 S ARCHER AVE 1 1,CHICAGO,IL,60616.0,25.0,18.0,25-18,9.0,1625,Raffles,720,Not-For-Profit Selling Raffles for Prizes of $50 or More,2368602.0,RENEW,,04/15/2016,06/21/2016,N,06/16/2016,06/15/2017,06/21/2016,06/22/2016,AAC,08/30/2016,,41.850842944,-87.63873424399999,"(41.85084294374687, -87.63873424399071)",2016,6821.0,26905.0,23.2,36.7,574603.1,6.041666666666668,0.0,0.0,1.0
3,2060891-20141016,2353257,357247,1,FOLASHADE'S CLEANING SERVICE INC.,FOLASHADE'S CLEANING SERVICE INC.,1965  BERNICE RD 1 1SW,LANSING,IL,60438.0,,,,,1010,Limited Business License,,,2060891.0,RENEW,,08/15/2014,04/01/2016,N,10/16/2014,10/15/2016,04/01/2016,04/01/2016,AAI,,38.0,41.951315556,-87.67858578,"(41.95131555606832, -87.67858578019546)",2016,2238.0,104955.0,81.6,38.99999999999999,574603.1,6.041666666666668,38.0,1.0,2.0
4,1144216-20070516,1804790,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/23/2007,05/10/2007,N,05/16/2007,05/15/2008,05/10/2007,05/11/2007,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2007,1090.0,13996.0,5.3,25.4,553134.7,5.25,5.0,1.0,8.0
5,2488345-20160830,2488345,409564,1,"BURKS HEATING AND COOLING SOLUTIONS, LLC","BURKS HEATING AND COOLING SOLUTIONS, LLC",5722 S WOOD ST 1ST,CHICAGO,IL,60636.0,15.0,35.0,15-35,7.0,4404,Regulated Business License,674,Home Repair Services (Home Occ),2488345.0,ISSUE,08/30/2016,08/30/2016,08/30/2016,N,08/30/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,,41.78961679,-87.669471996,"(41.78961679000226, -87.66947199630827)",2016,1680.0,26289.0,7.1,32.9,574603.1,6.041666666666668,0.0,0.0,1.0
6,22308-20030816,1479006,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,03/05/2004,03/22/2004,N,08/16/2003,08/15/2004,03/25/2004,04/16/2004,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2004,3533.0,40321.0,1.5567506368525332,58.07473084230526,523290.0,6.833333333333332,0.0,0.0,12.0
7,2354707-20160916,2482568,393149,1,ANGELINE R. MC CARTHY,ANGELINE R. MC CARTHY,17707 S HARLEM ST 1,TINLEY PARK,IL,60477.0,,,,,4406,Peddler License,915,"Street Performer, Moving Along the Public Way (Special)",2354707.0,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,,08/30/2016,AAI,,,,,,2016,,,,,,,0.0,0.0,1.0
8,22308-20010816,1151715,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/22/2001,08/10/2001,N,08/16/2001,08/15/2002,08/10/2001,03/05/2004,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2004,3533.0,40321.0,1.5567506368525332,58.07473084230526,523290.0,6.833333333333332,0.0,0.0,12.0
9,1144216-20030516,1338337,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/25/2003,04/28/2003,N,05/16/2003,05/15/2004,04/28/2003,04/28/2003,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2003,1640.0,9853.0,3.414634146341464,42.322834645669296,510351.3,7.458333333333332,5.0,1.0,8.0
