ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME
17,1,"THOMAS J. FOX ENTERPRISES, INC.",FOX'S BEVERLY PUB
19,1,ALBERT L ROMPZA,BURWOOD TAP
28,1,THE RIVER SHANNON CORPORATION,RIVER SHANNON
41,1,"GEJA'S INTERNATIONAL FOODS, INC.",GEJA'S CAFE
41,1,"GEJA'S INTERNATIONAL FOODS, INC.",GEJA'S CAFE
61,1,CLOVER CORPORATION,KELLY'S PUB
70,1,"MR BEEF ON HARLEM, LTD.","MR BEEF ON HARLEM, LTD"
78,1,FREDDIE LEE SANDERS,FREDDIE'S LOUNGE
80,1,YOSEF RAYA & NAIM M RAHMAN,JERUSALEM LIQUORS
82,3,"LETTUCE ENTERTAIN YOU ENTERPRISES, INC.",LETTUCE ENTERTAIN YOU
82,4,"LETTUCE ENTERTAIN YOU ENTERPRISES, INC.",R J GRUNTS
90,1,"LA UNICA FOOD MART, INC.","LA UNICA FOOD MART, INC."
96,1,"JUNDE, INC.",DI'S DEN
98,1,"SUNSET INN,INC","SUNSET INN,INC"
102,4,"SHORTY O'TOOLE'S PUB, INC.",RENALDI's PIZZA
106,1,"ZAVEN, INC.",ZAVEN INC
107,2,"FLAPJAWS' SALOON, LTD.",BISTRONOMIC
117,1,ALIVE & KICKING INC,THE APARTMENT LOUNGE
118,2,"CALO LOUNGE, INC.","Calo Lounge, Inc."
122,1,"ZIEMEK CORPORATION, INC.",ZIEMEK CORP.
129,1,"GLD, INC. - J.B.",DICKENS STREET PUBLIC HOUSE
130,1,"THE END ZONE, INC.",END ZONE TAP
138,1,GUIDE INC,GUIDE'S SPORTS CLUB
146,1,PORRETTA'S RESTAURANT INC,PORRETTA'S RESTAURANT INC
147,43,WALGREEN CO.,WALGREENS #2432
147,43,WALGREEN CO.,WALGREENS #2432
147,50,WALGREEN CO.,WALGREEN #03948
147,50,WALGREEN CO.,WALGREEN #03948
147,94,WALGREEN CO.,WALGREENS # 09470
147,94,WALGREEN CO.,WALGREENS # 09470
147,141,WALGREEN CO.,WALGREENS #16085
147,141,WALGREEN CO.,WALGREENS #16085
148,1,JOHN & TIMO'S INC,HILLTOP LIQUORS MART
151,1,"LLOYD'S LOUNGE, INC.","LLOYD'S LOUNGE, INC."
154,1,LUCIANO & HECTOR FD & LIQ INC,JOE'S FOOD & LIQUOR
157,1,STEVE ZIEMEK,STEVE'S LOUNGE
159,1,"ANDY'S 11 EAST LOUNGE, LTD.",ANDYS 11 EAST LOUNGE
169,1,"ARAGON ENTERTAINMENT CENTER, INC.","ARAGON ENTERTAINMENT CENTER, INC."
183,1,"LA CHANCE, LTD.",CHEZ MOI
188,1,"FALCO'S PIZZA, INC.",FALCO'S PIZZA
191,1,JO-KIM LOUNGE CORP.,HAPPY'S BAMBOO BAR & LOUNGE
191,1,JO-KIM LOUNGE CORP.,HAPPY'S BAMBOO BAR & LOUNGE
196,1,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.","MARTINO'S ITALIAN CUISINE & PIZZERIA, INC."
198,1,"L.A.C.O., INC.",LATIN AMERICAN REST & LOUNGE
205,1,"ONE STOP FOOD & LIQUOR STORE, INC.",ONE STOP FOOD & LIQUOR STORE
207,1,"TWIN ANCHORS, INC.",TWIN ANCHORS
210,1,H.T.A. INC.,HAM TREE INN
216,1,BEL-PARK LIQUORS INC.,FOREMOST LIQUORS CICERO
224,1,FRIAR TUCK INC.,FRIAR TUCK INC.
227,1,SADDLE AND CYCLE CLUB,SADDLE AND CYCLE CLUB
229,1,SABATINOS INC,SABATINOS INC
232,1,S L J CORP,BRUNA'S CAFE
233,1,"ARCADIA LIQUORS, INC.",FOREMOST LIQUORS
234,1,"MOODY'S RESTAURANT, INC.",MOODY'S RESTAURANT INC
236,1,JAMES E HARRINGTON,EDDIE'S FOOD & LIQUOR
236,4,JAMES E HARRINGTON,EDDIE'S LAUNDROMAT
236,5,JAMES E HARRINGTON,EDDIE'S
237,1,TELLERS INC,CUNNEEN'S PUB
246,2,"ERIK THE RED, INC.",Blackthorn
253,1,"RED COACHLIGHT RESTAURANT, INC.",RED COACH RESTAURANT
259,62,"JEWEL FOOD STORES, INC.",JEWEL FOOD STORE # 3234
259,62,"JEWEL FOOD STORES, INC.",JEWEL FOOD STORE # 3234
262,1,"SHEF AT OAK, INC.",KIRKWOOD BAR & GRILL
263,1,MR G'S FOOD & LIQUOR INC,MR G'S FOOD & LIQUOR
264,1,"PAUL AND MARC'S ENTERPRISES, LTD.",GROUCHO'S BAR & GRILL
265,1,"FIRESIDE BOWL, INC.",FIRESIDE BOWL INC
271,1,VILLA PALERMO INC,VILLA PALERMO INC
271,2,VILLA PALERMO INC,VILLA PALERMO INC
272,1,SLOVAK AMERICAN SOKOL KRIVAN,SLOVAK AMER. SOKOL LODGE 306
272,1,SLOVAK AMERICAN SOKOL KRIVAN,SLOVAK AMER. SOKOL LODGE 306
287,1,"ELFEGO RODRIGUEZ, INC.",EL NUEVO MEXICANO
292,1,"A.M.R. (OF ILLINOIS), INC.",PEPE TACO
302,1,"1000 LIQUOR'S, INC.",1000 LIQUORS / BIG CITY TAP
307,1,"LEADWAY LIQUORS, INC.",LEADWAY LIQUORS & CAFE
318,1,REDFORD'S PUB INC,KINGSTON MINES
320,1,BELFORD TAVERN INC,BELFORD TAVERN INC
323,1,"RON OF JAPAN, LTD., A LIMITED PARTNERSHIP",RON OF JAPAN INC
333,1,NEW ARCHVIEW RESTAURANT INC,NEW ARCHVIEW RESTAURANT INC
334,1,CONNIE'S & JOHNNIE'S INC,CONNIE'S & JOHNNIE'S INC
344,1,"JOHNNY'S FOOD & LIQUORS, INC.",JOHNNY'S FOODS
349,1,"BUSTER CRAB, INC.",THE BUDLONG HOT CHICKEN
350,1,"THREE SONS RESTAURANT, INC.","THREE SONS RESTAURANT, INC."
350,1,"THREE SONS RESTAURANT, INC.","THREE SONS RESTAURANT, INC."
351,1,ARCADIA FOOD & LIQUOR INC.,ARCADIA FOOD & LIQUOR INC.
352,1,"PALERMO STELLA DEL MAR, LTD.",PALERMO'S RESTAURANT
356,1,"DIONISOS RESTAURANT, INC.",AMBASSADOR PUBLIC HOUSE
363,2,KAVA RESTAURANTS INC,TERESA RESTAURANT /BANQUET HALL
368,1,"CHICAGO PRODUCE, INC.",CHICAGO PRODUCE
369,1,"MR. B'S STUFFED PIZZA, INC.",SUPAROSSA
369,2,"MR. B'S STUFFED PIZZA, INC.",MR B'S INC
371,1,"JIMENEZ FRESH MARKET, INC.",JIMENEZ FRESH MARKET
388,1,"AQUI MI TIERRA, INC.",MI TIERRA
390,1,"LA DONNA LOUNGE, INC.",THE BURLINGTON
393,1,"LA CREME, INC.",MON AMI GABI
395,1,ROBERT R FEDRO JR,LANGE'S LIQUORS
401,1,"SEVEN NINE ELEVEN FOOD MART, INC.","SEVEN NINE ELEVEN FOOD MART, INC."
415,1,AREE INC,MARISCOS LA DIABLA
420,1,Y. KATSUMURA CORP.,YOSHI'S CAFE
420,1,Y. KATSUMURA CORP.,YOSHI'S CAFE
422,1,"LA CREPERIE, INC.","LA CREPERIE, INC."
426,1,"CROATIAN CULTURAL CENTER OF CHICAGO, INC.",CROATIAN CULTURAL CENTER OF CHICAGO
427,2,"MAJOR CHARLES L. HUNT POST NO. 2024, VETERANS OF FOREIGN WARS OF THE UNITED STATES, INC.",MAJOR CHARLES L. HUNT POST NO. 2024
427,2,"MAJOR CHARLES L. HUNT POST NO. 2024, VETERANS OF FOREIGN WARS OF THE UNITED STATES, INC.",MAJOR CHARLES L. HUNT POST NO. 2024
436,3,"LOFTUS & O'MEARA STAFFING, INC.","LOFTUS & O'MEARA STAFFING, INC."
449,1,ACTIVE ELECTRICAL SUPPLY COMPANY,ACTIVE ELECTRICAL SUPPLY
470,4,"BENNETT & BROSSEAU ROOFING, INC.","Bennett & Brosseau Roofing, Inc."
473,1,ALDEN NURSING CENTER,LAKELAND INC
492,2,"CLAUDIA SKIN CARE CENTER, INC",CLAUDIA SKIN CARE CENTER
512,2,PARK TOWER CONDOMINIUM ASSOCIATION,PARK TOWER CONDOMINIUM ASSOCIATION
512,2,PARK TOWER CONDOMINIUM ASSOCIATION,PARK TOWER CONDOMINIUM ASSOCIATION
528,1,COLFAX CORORATION,COLFAX CORPORATION
558,1,WILLIAMS/GERARD PRODUCTIONS IN,WILLIAMS GERARD PRODUCTIONS
568,1,HINDA INC,HINDA INC
569,1,MIDWEST TRUCK & AUTO PARTS INC,MIDWEST TRUCK & AUTO PARTS INC
1484,3,LIMO CORP OF CHICAGO INC,LIMO CORP WORLDWIDE
1548,1,"CHAMBERS & OWEN, INC.","CHAMBERS & OWEN, INC."
1548,1,"CHAMBERS & OWEN, INC.","CHAMBERS & OWEN, INC."
1549,2,"KRETEK DISTRIBUTORS, INC.","KRETEK IMPORTS, INC."
1554,1,"JUST ""B"" CLAWS, INC.",SHAW'S CRAB HOUSE
1576,5,"MCGRATH-COLOSIMO, LTD.",McGRATH LEXUS OF CHICAGO
1576,5,"MCGRATH-COLOSIMO, LTD.",McGRATH LEXUS OF CHICAGO
1587,2,TIME INC.,TIME INC.
1602,1,CREDIT SUISSE Securities LLC,CREDIT SUISSE Securities LLC
1602,1,CREDIT SUISSE Securities LLC,CREDIT SUISSE Securities LLC
1620,1,ANDERSON-SHUMAKER COMPANY,ANDERSON-SHUMAKER COMPANY
1632,2,GATX CORPORATION,GATX CORPORATION
1638,1,HUB MANUFACTURING CO,HUB MANUFACTURING CO
1647,1,MIAMI CORPORATION,MIAMI CORPORATION
1652,1,OVERT PRESS INC,OVERT PRESS INC
1672,4,FORMAN REALTY CORPORATION,FORMAN REALTY CORPORATION
1673,1,CRAFTSMAN PLATING & TINN CORP,CRAFTSMAN PLATING & TINN CORP
1674,1,OIL-DRI CORPORATION OF AMERICA,OIL-DRI CORPORATION OF AMERICA
1675,1,"RAPID DISPLAYS,  INC","RAPID DISPLAYS,INC."
1675,3,"RAPID DISPLAYS,  INC","RAPID DISPLAY, INC."
1676,3,THE MARVEL GROUP INC,THE MARVEL GROUP INC
1681,1,P K TOOL & MANUFACTURING CO,P K TOOL & MFG CO
1681,2,P K TOOL & MANUFACTURING CO,P K TOOL & MFG CO
1698,3,RENSEL CHICAGO INC,SINGER SAFETY COMPANY / SAFE-T-QUIP CORPORATION
1713,1,"MID-WEST WIRE SPECIALTIES, INC.","MID-WEST WIRE SPECIALTIES, INC."
1714,2,CONTINENTAL MATERIALS CORP,CONTINENTAL MATERIALS CORP
1714,2,CONTINENTAL MATERIALS CORP,CONTINENTAL MATERIALS CORP
1720,1,ADAMS FOAM RUBBER CO,ADAMS FOAM RUBBER CO
1728,3,ENERGY BBDO INC.,ENERGY BBDO INC.
1747,1,SKOLNIK INDUSTRIES INC,SKOLNIK INDUSTRIES INC
1747,4,SKOLNIK INDUSTRIES INC,"Skolnik Industries, Inc."
1759,6,BOOZ ALLEN HAMILTON INC.,BOOZ ALLEN HAMILTON INC.
1759,6,BOOZ ALLEN HAMILTON INC.,BOOZ ALLEN HAMILTON INC.
1771,1,"CASE PAPER CO.,INC INC","CASE PAPER CO., INC"
1776,1,"A. EICOFF & COMPANY, INC.","A. EICOFF & COMPANY, INC."
1777,1,KNIGHT PAPER BOX CO,KNIGHT PAPER BOX CO
1797,1,"GREEK ISLANDS RESTAURANT, INC.",GREEK ISLANDS RESTAURANT
1797,1,"GREEK ISLANDS RESTAURANT, INC.",GREEK ISLANDS RESTAURANT
1816,1,J HUELL BRISCOE & ASSOC INC,J HUELL BRISCOE & ASSOC INC
1818,1,AMERICAN NAMEPLATE,AMERICAN NAMEPLATE
1844,2,"ASSEMBLERS, INC","ASSEMBLERS, INC"
1854,1,A EPSTEIN & SONS INT,A EPSTEIN & SONS INT
1885,4,"DRAFTFCB, INC.","FCB WORLDWIDE, INC."
1902,1,CLASSIC MIDWEST DIE MOLD INC,CLASSIC MIDWEST DIE MOLD INC
1910,1,"GATTO INDUSTRIAL PLATERS,INC","GATTO INDUSTRIAL PLATERS,INC"
1918,3,ZIMMIES INC #8,ORIGINAL PANCAKE HOUSE
1957,2,"MURRIHY PALLET CO, INC",Murriphy Pallet Co. Inc
1963,1,CHICAGO WIRE DESIGN CO,CHICAGO WIRE DESIGN CO
1975,1,SKOL MANUFACTURING CO,SKOL MFG
2003,3,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA TREAT #1605
2003,4,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESARS PIZZA TREAT #1627
2003,7,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA #1650
